sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
013_Win_6_46m_02-3,0,0,0,0,2,156,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 66.7,2210RL_013,13,6,35.65952833,-121.16355,,
013_Win_6_46m_03,0,0,0,0,3,157,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 66.7,2210RL_013,13,6,35.65952833,-121.16355,,
013_Win_6_46m_03-2,0,0,0,0,3,157,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 66.7,2210RL_013,13,6,35.65952833,-121.16355,,
013_Win_6_46m_03-3,0,0,0,0,3,157,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 66.7,2210RL_013,13,6,35.65952833,-121.16355,,
013_GEM_3_100m-2,0,0,0,0,1,146,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,70.0 66.7,2210RL_013,13,3,35.65952833,-121.16355,,
013_Win_4_100m_01,0,0,0,0,1,147,1,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 66.7,2210RL_013,13,4,35.65952833,-121.16355,,
013_Win_4_100m_01-1,0,0,0,0,1,147,2,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 66.7,2210RL_013,13,4,35.65952833,-121.16355,,
013_Win_4_100m_01-2,0,0,0,0,1,147,3,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 66.7,2210RL_013,13,4,35.65952833,-121.16355,,
013_Win_4_100m_02,0,0,0,0,2,148,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 66.7,2210RL_013,13,4,35.65952833,-121.16355,,had some material inside filter after filtering
013_Win_4_100m_02-2,0,0,0,0,2,148,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 66.7,2210RL_013,13,4,35.65952833,-121.16355,,had some material inside filter after filtering
013_Win_4_100m_02-3,0,0,0,0,2,148,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 66.7,2210RL_013,13,4,35.65952833,-121.16355,,had some material inside filter after filtering
013_Win_4_100m_03,0,0,0,0,3,149,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 66.7,2210RL_013,13,4,35.65952833,-121.16355,,
013_Win_4_100m_03-2,0,0,0,0,3,149,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 66.7,2210RL_013,13,4,35.65952833,-121.16355,,
013_Win_4_100m_03-3,0,0,0,0,3,149,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 66.7,2210RL_013,13,4,35.65952833,-121.16355,,
013_GEM_2_170m,0,0,0,0,1,153,1,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,70.0 66.7,2210RL_013,13,2,35.65952833,-121.16355,,
013_GEM_2_170m-2,0,0,0,0,1,153,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,70.0 66.7,2210RL_013,13,2,35.65952833,-121.16355,,
013_GEM_2_170m-3,0,0,0,0,1,153,3,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,70.0 66.7,2210RL_013,13,2,35.65952833,-121.16355,,
013_GEM_1_515m,0,0,0,0,1,158,1,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,70.0 66.7,2210RL_013,13,1,35.65952833,-121.16355,,
013_GEM_1_515m-2,0,0,0,0,1,158,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,70.0 66.7,2210RL_013,13,1,35.65952833,-121.16355,,
013_GEM_1_515m-3,0,0,0,0,1,158,3,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,70.0 66.7,2210RL_013,13,1,35.65952833,-121.16355,,
012_GEM_3_10m,0,0,0,0,1,138,1,BAE01,202210,20221016,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,73.3 50.0,2210RL_012,12,3,35.63402167,-120.7119117,,
012_GEM_3_10m-2,0,0,0,0,1,138,2,BAE02,202210,20221016,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,73.3 50.0,2210RL_012,12,3,35.63402167,-120.7119117,,
012_Win_4_10m_01,0,0,0,0,1,139,1,BAE02,202210,20221016,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,73.3 50.0,2210RL_012,12,4,35.63402167,-120.7119117,,
012_Win_4_10m_01-1,0,0,0,0,1,139,2,BAE01,202210,20221016,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,73.3 50.0,2210RL_012,12,4,35.63402167,-120.7119117,,
012_Win_4_10m_01-2,0,0,0,0,1,139,3,BAE01,202210,20221016,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,73.3 50.0,2210RL_012,12,4,35.63402167,-120.7119117,,
012_Win_4_10m_02,0,0,0,0,2,140,1,BAE01,202210,20221016,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,73.3 50.0,2210RL_012,12,4,35.63402167,-120.7119117,,
